filename,path,piece_id,makam,form,usul,title,composer,source_format,duration_quarters,n_notes,pitch_class_entropy,rhythmic_complexity,note_density,pitch_range,unique_pitch_count,phase_entropy,has_pitch_bend_or_perde
acemasiran--aranagme--curcuna--1--.mid,symbtr/acemasiran--aranagme--curcuna--1--.mid,acemasiran--aranagme--curcuna--1--,acemasiran,aranagme,curcuna,1,,midi,47.0,125,2.8902895936513424,1.1062581404104015,2.6595744680851063,11.0,8.0,2.973659409288505,True
acemasiran--aranagme--semai--1--.mid,symbtr/acemasiran--aranagme--semai--1--.mid,acemasiran--aranagme--semai--1--,acemasiran,aranagme,semai,1,,midi,47.925,101,2.7094840286795763,1.4540868031220835,2.1074595722483047,11.0,9.0,2.9650084784307813,True
acemasiran--aranagme--senginsemai--1--.mid,symbtr/acemasiran--aranagme--senginsemai--1--.mid,acemasiran--aranagme--senginsemai--1--,acemasiran,aranagme,senginsemai,1,,midi,65.39166666666667,162,2.908686256996532,1.7006016444367202,2.477379890403976,10.0,8.0,2.9813394414170453,True
acemasiran--aranagme--sofyan--1--.mid,symbtr/acemasiran--aranagme--sofyan--1--.mid,acemasiran--aranagme--sofyan--1--,acemasiran,aranagme,sofyan,1,,midi,42.66666666666666,74,2.6409988121965524,1.4160778261118725,1.734375,10.0,7.0,2.8319852528638734,True
acemasiran--aranagme--yuruksemai--1--.mid,symbtr/acemasiran--aranagme--yuruksemai--1--.mid,acemasiran--aranagme--yuruksemai--1--,acemasiran,aranagme,yuruksemai,1,,midi,48.0,83,2.806327711841617,1.374023960639786,1.7291666666666667,10.0,9.0,2.9007412161431305,True
acemasiran--beste--devrikebir--ber_kusa-yi--basmaci_abdi_efendi.mid,symbtr/acemasiran--beste--devrikebir--ber_kusa-yi--basmaci_abdi_efendi.mid,acemasiran--beste--devrikebir--ber_kusa-yi--basmaci_abdi_efendi,acemasiran,beste,devrikebir,ber_kusa-yi,basmaci_abdi_efendi,midi,283.3333333333333,550,3.0949468408664824,1.8747486885665217,1.9411764705882355,11.0,12.0,2.996891624828918,True
acemasiran--beste--zencir--hayatin_cumleye--dellalzade_haci_ismail_efendi.mid,symbtr/acemasiran--beste--zencir--hayatin_cumleye--dellalzade_haci_ismail_efendi.mid,acemasiran--beste--zencir--hayatin_cumleye--dellalzade_haci_ismail_efendi,acemasiran,beste,zencir,hayatin_cumleye,dellalzade_haci_ismail_efendi,midi,277.9604166666667,603,2.9603506098822514,1.7438362101695055,2.169373636833782,11.0,10.0,2.993847056965887,True
acemasiran--fantezi--yuruksemai_ii--ey_benim--resat_erer.mid,symbtr/acemasiran--fantezi--yuruksemai_ii--ey_benim--resat_erer.mid,acemasiran--fantezi--yuruksemai_ii--ey_benim--resat_erer,acemasiran,fantezi,yuruksemai ii,ey_benim,resat_erer,midi,335.85,491,3.227881315221364,1.815930505084236,1.4619621854994789,11.0,12.0,2.952869017522929,True
acemasiran--ilahi--muhammes--ta_dil--calakzade_mustafa_efendi.mid,symbtr/acemasiran--ilahi--muhammes--ta_dil--calakzade_mustafa_efendi.mid,acemasiran--ilahi--muhammes--ta_dil--calakzade_mustafa_efendi,acemasiran,ilahi,muhammes,ta_dil,calakzade_mustafa_efendi,midi,163.75,371,2.963988455854343,1.6419179772327157,2.265648854961832,11.0,11.0,2.998346695520449,True
acemasiran--kupe--aksaksemai--bir--ahmet_avni_konuk.mid,symbtr/acemasiran--kupe--aksaksemai--bir--ahmet_avni_konuk.mid,acemasiran--kupe--aksaksemai--bir--ahmet_avni_konuk,acemasiran,kupe,aksaksemai,bir,ahmet_avni_konuk,midi,47.0,90,2.7882035136724213,1.479496452794762,1.9148936170212767,10.0,8.0,2.9842042575140733,True
acemasiran--mars--nimsofyan--korkma_sonmez--ali_rifat_cagatay.mid,symbtr/acemasiran--mars--nimsofyan--korkma_sonmez--ali_rifat_cagatay.mid,acemasiran--mars--nimsofyan--korkma_sonmez--ali_rifat_cagatay,acemasiran,mars,nimsofyan,korkma_sonmez,ali_rifat_cagatay,midi,119.95208333333332,216,2.773777606903792,2.1697254939687407,1.8007190371155148,10.0,8.0,2.971952031947324,True
acemasiran--nakis--yuruksemai--ne_hevayi--dede_efendi.mid,symbtr/acemasiran--nakis--yuruksemai--ne_hevayi--dede_efendi.mid,acemasiran--nakis--yuruksemai--ne_hevayi--dede_efendi,acemasiran,nakis,yuruksemai,ne_hevayi,dede_efendi,midi,413.26666666666665,740,3.156814672420291,1.4923097906142817,1.790611388933699,11.0,12.0,2.990474024263743,True
acemasiran--pesrev--devrikebir----dede_salih_efendi.mid,symbtr/acemasiran--pesrev--devrikebir----dede_salih_efendi.mid,acemasiran--pesrev--devrikebir----dede_salih_efendi,acemasiran,pesrev,devrikebir,dede_salih_efendi,,midi,179.16041666666666,322,3.121189623407951,1.5181537155377498,1.7972719978603906,11.0,10.0,2.9960247541317555,True
acemasiran--pesrev--duyek--son_pesrev--huseyin_fahreddin_dede.mid,symbtr/acemasiran--pesrev--duyek--son_pesrev--huseyin_fahreddin_dede.mid,acemasiran--pesrev--duyek--son_pesrev--huseyin_fahreddin_dede,acemasiran,pesrev,duyek,son_pesrev,huseyin_fahreddin_dede,midi,79.96875,235,3.0385365352508664,1.7391690160329587,2.938647909339586,11.0,11.0,2.9788118011600515,True
acemasiran--pesrev--frenkcin----nuri_halil_poyraz.mid,symbtr/acemasiran--pesrev--frenkcin----nuri_halil_poyraz.mid,acemasiran--pesrev--frenkcin----nuri_halil_poyraz,acemasiran,pesrev,frenkcin,nuri_halil_poyraz,,midi,376.88958333333335,618,3.0181505366654675,1.5368161899675217,1.6397375447052904,11.0,11.0,2.998646236247655,True
acemasiran--pesrev--muhammes----gazi_giray_han.mid,symbtr/acemasiran--pesrev--muhammes----gazi_giray_han.mid,acemasiran--pesrev--muhammes----gazi_giray_han,acemasiran,pesrev,muhammes,gazi_giray_han,,midi,182.75833333333333,546,3.0402222224988087,1.6866398025197509,2.987551867219917,11.0,12.0,2.989487468975962,True
acemasiran--sarki--agiraksak--bir_haber--bimen_sen.mid,symbtr/acemasiran--sarki--agiraksak--bir_haber--bimen_sen.mid,acemasiran--sarki--agiraksak--bir_haber--bimen_sen,acemasiran,sarki,agiraksak,bir_haber,bimen_sen,midi,238.6875,556,2.9565335053064525,1.544502709704918,2.329405603561141,11.0,11.0,2.994278797952684,True
acemasiran--sarki--agiraksak--bir_teselli--serif_icli.mid,symbtr/acemasiran--sarki--agiraksak--bir_teselli--serif_icli.mid,acemasiran--sarki--agiraksak--bir_teselli--serif_icli,acemasiran,sarki,agiraksak,bir_teselli,serif_icli,midi,208.6875,479,2.9787899956012702,1.6639855592799349,2.295297993411201,11.0,10.0,2.992100477114409,True
acemasiran--sarki--agiraksak--goncasindan_gulsenin--emin_ongan.mid,symbtr/acemasiran--sarki--agiraksak--goncasindan_gulsenin--emin_ongan.mid,acemasiran--sarki--agiraksak--goncasindan_gulsenin--emin_ongan,acemasiran,sarki,agiraksak,goncasindan_gulsenin,emin_ongan,midi,178.6875,375,2.9653960874341765,1.7801274207948945,2.0986358866736623,11.0,11.0,2.9962744511206028,True
acemasiran--sarki--agiraksak--mahveder_her--neyzen_riza_bey.mid,symbtr/acemasiran--sarki--agiraksak--mahveder_her--neyzen_riza_bey.mid,acemasiran--sarki--agiraksak--mahveder_her--neyzen_riza_bey,acemasiran,sarki,agiraksak,mahveder_her,neyzen_riza_bey,midi,162.12083333333334,357,3.126074872794356,0.5372098754329344,2.202061219769205,11.0,12.0,2.9942938042110505,True
acemasiran--sarki--agiraksak--ne_kadar--artaki_candan.mid,symbtr/acemasiran--sarki--agiraksak--ne_kadar--artaki_candan.mid,acemasiran--sarki--agiraksak--ne_kadar--artaki_candan,acemasiran,sarki,agiraksak,ne_kadar,artaki_candan,midi,162.11458333333334,303,3.1535920949851315,1.9146355608649288,1.869048383987663,11.0,11.0,2.992309015886879,True
acemasiran--sarki--agirduyek--kime_halim--faize_ergin.mid,symbtr/acemasiran--sarki--agirduyek--kime_halim--faize_ergin.mid,acemasiran--sarki--agirduyek--kime_halim--faize_ergin,acemasiran,sarki,agirduyek,kime_halim,faize_ergin,midi,209.41666666666663,439,2.90827188916804,1.546998075831137,2.096299243931556,10.0,9.0,2.9954964291674666,True
acemasiran--sarki--aksak--acildi_nevbahar--sadullah_aga.mid,symbtr/acemasiran--sarki--aksak--acildi_nevbahar--sadullah_aga.mid,acemasiran--sarki--aksak--acildi_nevbahar--sadullah_aga,acemasiran,sarki,aksak,acildi_nevbahar,sadullah_aga,midi,215.875,370,3.1425720881153825,1.3384981284111253,1.7139548349739433,11.0,11.0,2.989504800165792,True
acemasiran--sarki--aksak--dinle_sozum--iii_selim.mid,symbtr/acemasiran--sarki--aksak--dinle_sozum--iii_selim.mid,acemasiran--sarki--aksak--dinle_sozum--iii_selim,acemasiran,sarki,aksak,dinle_sozum,iii_selim,midi,138.95208333333332,400,3.072563162907341,1.5474823343397903,2.878690195960838,11.0,11.0,2.9845215471960693,True
acemasiran--sarki--aksak--dustum_bir--ali_riza_avni_tinaz.mid,symbtr/acemasiran--sarki--aksak--dustum_bir--ali_riza_avni_tinaz.mid,acemasiran--sarki--aksak--dustum_bir--ali_riza_avni_tinaz,acemasiran,sarki,aksak,dustum_bir,ali_riza_avni_tinaz,midi,120.0,309,3.0419351695637507,1.678147902684595,2.575,11.0,11.0,2.9918788533250886,True
acemasiran--sarki--aksak--gonlum_dusuyor--ismail_baha_surelsan.mid,symbtr/acemasiran--sarki--aksak--gonlum_dusuyor--ismail_baha_surelsan.mid,acemasiran--sarki--aksak--gonlum_dusuyor--ismail_baha_surelsan,acemasiran,sarki,aksak,gonlum_dusuyor,ismail_baha_surelsan,midi,65.51458333333333,267,2.7242878550150547,1.2315980644968354,4.075428498743919,10.0,8.0,2.9933631349170686,True
acemasiran--sarki--aksak--gordum_seni--irfan_dogrusoz.mid,symbtr/acemasiran--sarki--aksak--gordum_seni--irfan_dogrusoz.mid,acemasiran--sarki--aksak--gordum_seni--irfan_dogrusoz,acemasiran,sarki,aksak,gordum_seni,irfan_dogrusoz,midi,161.94583333333333,436,2.870079256214744,1.085461729012407,2.692258213908972,11.0,9.0,2.9972008019045333,True
acemasiran--sarki--aksak--lutfeyle_meded--dede_efendi.mid,symbtr/acemasiran--sarki--aksak--lutfeyle_meded--dede_efendi.mid,acemasiran--sarki--aksak--lutfeyle_meded--dede_efendi,acemasiran,sarki,aksak,lutfeyle_meded,dede_efendi,midi,120.0,229,2.982849417349593,1.0913968283900966,1.9083333333333332,11.0,10.0,2.9821595427898338,True
acemasiran--sarki--aksak--o_tebessum--ismail_baha_surelsan.mid,symbtr/acemasiran--sarki--aksak--o_tebessum--ismail_baha_surelsan.mid,acemasiran--sarki--aksak--o_tebessum--ismail_baha_surelsan,acemasiran,sarki,aksak,o_tebessum,ismail_baha_surelsan,midi,107.225,271,2.7523600898133567,1.5287251589231932,2.5273956633247843,10.0,7.0,2.9767510756154287,True
acemasiran--sarki--aksak--oldu_gonul--dede_efendi.mid,symbtr/acemasiran--sarki--aksak--oldu_gonul--dede_efendi.mid,acemasiran--sarki--aksak--oldu_gonul--dede_efendi,acemasiran,sarki,aksak,oldu_gonul,dede_efendi,midi,101.83541666666666,200,3.0965304703466328,1.4050495605382158,1.9639532742783496,11.0,11.0,2.988690522623948,True
acemasiran--sarki--aksak--yanar_sinem--ismet_aga.mid,symbtr/acemasiran--sarki--aksak--yanar_sinem--ismet_aga.mid,acemasiran--sarki--aksak--yanar_sinem--ismet_aga,acemasiran,sarki,aksak,yanar_sinem,ismet_aga,midi,180.0,274,3.0965959281151485,1.7246318826258418,1.522222222222222,10.0,10.0,2.9931163923307,True
acemasiran--sarki--curcuna--ates-i_askinla--emin_ongan.mid,symbtr/acemasiran--sarki--curcuna--ates-i_askinla--emin_ongan.mid,acemasiran--sarki--curcuna--ates-i_askinla--emin_ongan,acemasiran,sarki,curcuna,ates-i_askinla,emin_ongan,midi,145.4875,389,2.945607159994553,1.5906603296531237,2.673769224160151,11.0,12.0,2.9985696264871846,True
acemasiran--sarki--curcuna--dilde_derd-i--nuri_halil_poyraz.mid,symbtr/acemasiran--sarki--curcuna--dilde_derd-i--nuri_halil_poyraz.mid,acemasiran--sarki--curcuna--dilde_derd-i--nuri_halil_poyraz,acemasiran,sarki,curcuna,dilde_derd-i,nuri_halil_poyraz,midi,197.975,519,2.9906134347754403,1.5089176528115102,2.621543124131835,11.0,10.0,2.9948141261367063,True
acemasiran--sarki--curcuna--gam_cekme_guzel--arif_sami_toker.mid,symbtr/acemasiran--sarki--curcuna--gam_cekme_guzel--arif_sami_toker.mid,acemasiran--sarki--curcuna--gam_cekme_guzel--arif_sami_toker,acemasiran,sarki,curcuna,gam_cekme_guzel,arif_sami_toker,midi,310.14166666666665,603,3.007725037601657,1.2907202869312289,1.944272778568933,11.0,12.0,2.9890217391073843,True
acemasiran--sarki--curcuna--neden_kalbim--nasibin_mehmet_yuru.mid,symbtr/acemasiran--sarki--curcuna--neden_kalbim--nasibin_mehmet_yuru.mid,acemasiran--sarki--curcuna--neden_kalbim--nasibin_mehmet_yuru,acemasiran,sarki,curcuna,neden_kalbim,nasibin_mehmet_yuru,midi,109.60625,310,2.9019309463627745,1.554584428071676,2.828305867594229,11.0,10.0,2.987855444852413,True
acemasiran--sarki--devrihindi--ey_gul-i_rana--neveser_kokdes.mid,symbtr/acemasiran--sarki--devrihindi--ey_gul-i_rana--neveser_kokdes.mid,acemasiran--sarki--devrihindi--ey_gul-i_rana--neveser_kokdes,acemasiran,sarki,devrihindi,ey_gul-i_rana,neveser_kokdes,midi,192.16875,303,2.8473626911531134,1.4891732867637506,1.576739194067714,10.0,10.0,2.9849718257586257,True
acemasiran--sarki--devrihindi--neseyab_ol--ahmet_mukerrem_akinci.mid,symbtr/acemasiran--sarki--devrihindi--neseyab_ol--ahmet_mukerrem_akinci.mid,acemasiran--sarki--devrihindi--neseyab_ol--ahmet_mukerrem_akinci,acemasiran,sarki,devrihindi,neseyab_ol,ahmet_mukerrem_akinci,midi,215.47083333333333,462,3.1152367521999627,1.711935760194006,2.144141705180516,11.0,12.0,2.993157428510713,True
acemasiran--sarki--devrihindi--ruy-i_alemdir--dellalzade_haci_ismail_efendi.mid,symbtr/acemasiran--sarki--devrihindi--ruy-i_alemdir--dellalzade_haci_ismail_efendi.mid,acemasiran--sarki--devrihindi--ruy-i_alemdir--dellalzade_haci_ismail_efendi,acemasiran,sarki,devrihindi,ruy-i_alemdir,dellalzade_haci_ismail_efendi,midi,111.9,296,3.0239711187779323,1.33374555967511,2.645218945487042,10.0,9.0,2.988672280226272,True
acemasiran--sarki--duyek--bu_hal--sadettin_kaynak.mid,symbtr/acemasiran--sarki--duyek--bu_hal--sadettin_kaynak.mid,acemasiran--sarki--duyek--bu_hal--sadettin_kaynak,acemasiran,sarki,duyek,bu_hal,sadettin_kaynak,midi,237.425,407,3.0807100066344795,1.0362401934857532,1.7142255449089183,11.0,10.0,2.989186816053471,True
acemasiran--sarki--duyek--bulutlar_kokunu--sadettin_kaynak.mid,symbtr/acemasiran--sarki--duyek--bulutlar_kokunu--sadettin_kaynak.mid,acemasiran--sarki--duyek--bulutlar_kokunu--sadettin_kaynak,acemasiran,sarki,duyek,bulutlar_kokunu,sadettin_kaynak,midi,320.0,265,2.9101519790595667,1.9705754327139569,0.828125,11.0,9.0,2.9962248914513,True
acemasiran--sarki--duyek--gonul_seni--sadettin_kaynak.mid,symbtr/acemasiran--sarki--duyek--gonul_seni--sadettin_kaynak.mid,acemasiran--sarki--duyek--gonul_seni--sadettin_kaynak,acemasiran,sarki,duyek,gonul_seni,sadettin_kaynak,midi,151.3375,293,2.8728013970094666,1.477709106587483,1.9360700421243908,11.0,11.0,2.989202610263677,True
acemasiran--sarki--duyek--pence-i_gamdan--misirli_udi_ibrahim_efendi.mid,symbtr/acemasiran--sarki--duyek--pence-i_gamdan--misirli_udi_ibrahim_efendi.mid,acemasiran--sarki--duyek--pence-i_gamdan--misirli_udi_ibrahim_efendi,acemasiran,sarki,duyek,pence-i_gamdan,misirli_udi_ibrahim_efendi,midi,159.95,359,2.891491945730852,1.6901350048679231,2.244451391059706,11.0,9.0,2.9836117464910075,True
acemasiran--sarki--duyek--ruhumda_derin--kemal_gurses.mid,symbtr/acemasiran--sarki--duyek--ruhumda_derin--kemal_gurses.mid,acemasiran--sarki--duyek--ruhumda_derin--kemal_gurses,acemasiran,sarki,duyek,ruhumda_derin,kemal_gurses,midi,178.48958333333334,456,2.7694664531538247,0.9563156724869456,2.5547709366793114,10.0,9.0,2.98682975602907,True
acemasiran--sarki--duyek--sim-ten_gonca--sakir_aga.mid,symbtr/acemasiran--sarki--duyek--sim-ten_gonca--sakir_aga.mid,acemasiran--sarki--duyek--sim-ten_gonca--sakir_aga,acemasiran,sarki,duyek,sim-ten_gonca,sakir_aga,midi,231.95,385,3.130066904625909,2.097742347057343,1.659840482862686,11.0,12.0,2.98901472612663,True
acemasiran--sarki--raksaksagi--bana_tavr-i--sakir_aga.mid,symbtr/acemasiran--sarki--raksaksagi--bana_tavr-i--sakir_aga.mid,acemasiran--sarki--raksaksagi--bana_tavr-i--sakir_aga,acemasiran,sarki,raksaksagi,bana_tavr-i,sakir_aga,midi,95.15208333333334,272,2.9096490560253985,0.8788008972769021,2.8585816565585795,10.0,10.0,2.9973074509621185,True
acemasiran--sarki--semai--bitmesin_icimdeki--omer_dilek.mid,symbtr/acemasiran--sarki--semai--bitmesin_icimdeki--omer_dilek.mid,acemasiran--sarki--semai--bitmesin_icimdeki--omer_dilek,acemasiran,sarki,semai,bitmesin_icimdeki,omer_dilek,midi,166.23541666666668,378,3.116030866897524,1.5251270221114583,2.273883674006492,11.0,11.0,2.985308368084241,True
acemasiran--sarki--semai--ey_cesm-i--nikogos_aga.mid,symbtr/acemasiran--sarki--semai--ey_cesm-i--nikogos_aga.mid,acemasiran--sarki--semai--ey_cesm-i--nikogos_aga,acemasiran,sarki,semai,ey_cesm-i,nikogos_aga,midi,109.6625,251,2.9583894007376705,1.4070762421403389,2.288840761427106,11.0,10.0,2.982503168829895,True
acemasiran--sarki--semai--sorma_dostum--nuri_halil_poyraz.mid,symbtr/acemasiran--sarki--semai--sorma_dostum--nuri_halil_poyraz.mid,acemasiran--sarki--semai--sorma_dostum--nuri_halil_poyraz,acemasiran,sarki,semai,sorma_dostum,nuri_halil_poyraz,midi,209.875,493,2.940883609632565,1.6118521827705397,2.349017272185825,11.0,11.0,2.938893601397634,True
acemasiran--sarki--semai--yagmur_ol--amir_ates.mid,symbtr/acemasiran--sarki--semai--yagmur_ol--amir_ates.mid,acemasiran--sarki--semai--yagmur_ol--amir_ates,acemasiran,sarki,semai,yagmur_ol,amir_ates,midi,171.2625,377,2.8871892057681965,1.8249526371051972,2.201299175242683,10.0,9.0,2.9719507987963087,True
acemasiran--sarki--senginsemai--canan_okuyor--ali_riza_avni_tinaz.mid,symbtr/acemasiran--sarki--senginsemai--canan_okuyor--ali_riza_avni_tinaz.mid,acemasiran--sarki--senginsemai--canan_okuyor--ali_riza_avni_tinaz,acemasiran,sarki,senginsemai,canan_okuyor,ali_riza_avni_tinaz,midi,216.52291666666667,488,2.9945961852963903,1.942269465466944,2.2538030039160595,11.0,11.0,2.989487206166553,True
acemasiran--sarki--senginsemai--zehrolsa_bile--bimen_sen.mid,symbtr/acemasiran--sarki--senginsemai--zehrolsa_bile--bimen_sen.mid,acemasiran--sarki--senginsemai--zehrolsa_bile--bimen_sen,acemasiran,sarki,senginsemai,zehrolsa_bile,bimen_sen,midi,196.25208333333333,335,2.9929436870012576,2.191649449913355,1.7069882485323935,11.0,11.0,2.991343951799995,True
acemasiran--sarki--sofyan--bakma_sakin--sakir_aga.mid,symbtr/acemasiran--sarki--sofyan--bakma_sakin--sakir_aga.mid,acemasiran--sarki--sofyan--bakma_sakin--sakir_aga,acemasiran,sarki,sofyan,bakma_sakin,sakir_aga,midi,159.91875,469,2.9360131024615663,1.403887713618944,2.9327392816664712,10.0,10.0,2.9894806028471117,True
acemasiran--sarki--sofyan--gonul_sana--sadettin_kaynak.mid,symbtr/acemasiran--sarki--sofyan--gonul_sana--sadettin_kaynak.mid,acemasiran--sarki--sofyan--gonul_sana--sadettin_kaynak,acemasiran,sarki,sofyan,gonul_sana,sadettin_kaynak,midi,363.8104166666666,1060,2.9352945276810853,1.9017331127294728,2.913605414908177,11.0,9.0,2.996218587404565,True
acemasiran--sarki--sofyan--nideyim_bilmem--sadettin_kaynak.mid,symbtr/acemasiran--sarki--sofyan--nideyim_bilmem--sadettin_kaynak.mid,acemasiran--sarki--sofyan--nideyim_bilmem--sadettin_kaynak,acemasiran,sarki,sofyan,nideyim_bilmem,sadettin_kaynak,midi,143.51666666666668,358,3.0286900891642152,1.37916956342883,2.494483799790965,11.0,10.0,2.728074640253536,True
acemasiran--sarki--yuruksemai--gel_ey_denizin--aleko_bacanos.mid,symbtr/acemasiran--sarki--yuruksemai--gel_ey_denizin--aleko_bacanos.mid,acemasiran--sarki--yuruksemai--gel_ey_denizin--aleko_bacanos,acemasiran,sarki,yuruksemai,gel_ey_denizin,aleko_bacanos,midi,175.0,367,2.935208767307648,1.8041954477943936,2.097142857142857,11.0,10.0,2.990010098035647,True
acemasiran--sazsemaisi--aksaksemai----gazi_giray_han.mid,symbtr/acemasiran--sazsemaisi--aksaksemai----gazi_giray_han.mid,acemasiran--sazsemaisi--aksaksemai----gazi_giray_han,acemasiran,sazsemaisi,aksaksemai,gazi_giray_han,,midi,276.0,583,2.7717544467682784,1.843852161042712,2.11231884057971,10.0,7.0,2.9791108174368013,True
acemasiran--sazsemaisi--aksaksemai----misirli_udi_ibrahim_efendi.mid,symbtr/acemasiran--sazsemaisi--aksaksemai----misirli_udi_ibrahim_efendi.mid,acemasiran--sazsemaisi--aksaksemai----misirli_udi_ibrahim_efendi,acemasiran,sazsemaisi,aksaksemai,misirli_udi_ibrahim_efendi,,midi,276.6791666666667,589,2.888575624378365,1.6031224322062072,2.128819481047543,11.0,10.0,2.995185454568051,True
acemasiran--sazsemaisi--aksaksemai----serafettin_seref_cakar.mid,symbtr/acemasiran--sazsemaisi--aksaksemai----serafettin_seref_cakar.mid,acemasiran--sazsemaisi--aksaksemai----serafettin_seref_cakar,acemasiran,sazsemaisi,aksaksemai,serafettin_seref_cakar,,midi,288.4875,701,2.8931622354530475,1.5182288691164536,2.429914641015642,11.0,12.0,2.98031172050064,True
acemasiran--selam--agirduyek--her_ruz--huseyin_fahreddin_dede.mid,symbtr/acemasiran--selam--agirduyek--her_ruz--huseyin_fahreddin_dede.mid,acemasiran--selam--agirduyek--her_ruz--huseyin_fahreddin_dede,acemasiran,selam,agirduyek,her_ruz,huseyin_fahreddin_dede,midi,463.6770833333333,677,3.013854587480875,1.7008144793647784,1.4600678453485498,11.0,11.0,2.997674358499773,True
acemasiran--selam--mevlevievferi--bi_dil--huseyin_fahreddin_dede.mid,symbtr/acemasiran--selam--mevlevievferi--bi_dil--huseyin_fahreddin_dede.mid,acemasiran--selam--mevlevievferi--bi_dil--huseyin_fahreddin_dede,acemasiran,selam,mevlevievferi,bi_dil,huseyin_fahreddin_dede,midi,179.82916666666668,371,3.0513287743417425,1.4432679380371367,2.0630691165226254,11.0,11.0,2.9946711360237965,True
acemasiran--selam--mevlevievferi--sultan-i_meni--huseyin_fahreddin_dede.mid,symbtr/acemasiran--selam--mevlevievferi--sultan-i_meni--huseyin_fahreddin_dede.mid,acemasiran--selam--mevlevievferi--sultan-i_meni--huseyin_fahreddin_dede,acemasiran,selam,mevlevievferi,sultan-i_meni,huseyin_fahreddin_dede,midi,102.7625,204,3.023977321631104,1.4739149574366155,1.9851599562097069,11.0,11.0,2.983792404399706,True
acemasiran--seyir--semai--1--rauf_yekta.mid,symbtr/acemasiran--seyir--semai--1--rauf_yekta.mid,acemasiran--seyir--semai--1--rauf_yekta,acemasiran,seyir,semai,1,rauf_yekta,midi,48.0,68,2.7240104727722105,1.1196945565572776,1.4166666666666667,10.0,7.0,2.9948435836147023,True
